Program,Country
London School of Economics: The General Course,United Kingdom
Oxford- St. Catherine's,United Kingdom
"SIT/IHP - Health and Community: Globalization, Culture, and Care (Spring 2)","Argentina,South Africa,United States,Vietnam"
IFSA - Queensland,Australia
"SIT/IHP - Health and Community: Globalization, Culture, and Care (Spring 1)","Brazil,India,South Africa,United States"
NYU in Shanghai,China
Duke in Berlin (Feb Start),Germany
Duke in Berlin (Spring or Academic Year),Germany
Trinity College Dublin,Ireland
"SIT - Jordan: Geopolitics, International Relations, and the Future of the Middle East",Jordan
Arcadia - Auckland,New Zealand
Arcadia - Canterbury,New Zealand
National University of Singapore,Singapore
CIEE - Barcelona: Economics and Culture,Spain
Oxford  - St. Catherine's,United Kingdom
"Duke in D.C.: Policy, Leadership, and Innovation (Dorm)",United States
Duke in L.A. (Dorm),United States
Duke in New York - Financial Markets and Institutions (Double),United States
Duke in New York - Financial Markets and Institutions (No Housing),United States
Duke in New York - Financial Markets and Institutions (Single),United States
Howard University Exchange,United States
Duke in Alicante - Elementary,Spain
Duke in Alicante - Intermediate,Spain
Duke in New York - Summer Arts & Media Internship Program,United States
The Ronald & Carrie Ludwig Duke in Silicon Valley Program,United States
IES Buenos Aires - Latin American Societies & Cultures,Argentina
"SIT/IHP - Cities in the 21st Century: People, Planning, and Politics","Argentina, South Africa, Spain, United States"
"SIT/IHP Human Rights: Movements, Power, and Resistance","Chile, Jordan, Nepal, United States"
IFSA - Trinity College Dublin,Ireland
Stony Brook University Field School in the Turkana Basin - Origins Field School,Kenya
SIT - Morocco Multiculturalism and Human Rights,Morocco
CIEE - Lisbon,Portugal
CIEE - Cape Town: Arts & Sciences,South Africa
"IES Madrid - Engineering, Math & Science",Spain
SIT - Switzerland: Global Health and Development Policy,Switzerland
Arcadia - King's College,United Kingdom
IFSA - St. Andrews,United Kingdom
IFSA - University College London,United Kingdom
University of Glasgow,United Kingdom
Duke in New York - Fall Arts & Media,United States
