Program,Country
"SIT - IHP - Human Rights: Movements, Power, and Resistance",Nepal/Jordan/Chile
CES - Maastricht,Netherlands
CES Maastricht,Netherlands
Arcadia - Auckland,New Zealand
Arcadia - Canterbury,New Zealand
Arcadia - Otago,New Zealand
IFSA - Otago,New Zealand
University of Auckland,New Zealand
University of Canterbury,New Zealand
University of Otago,New Zealand
CIEE - Lisbon,Portugal
Duke in Russia ,Russian Federation
Duke in St. Petersburg,Russian Federation
University of St. Andrews,Scotland
National University of Singapore,Singapore
CIEE - Cape Town,South Africa
CIEE - Cape Town: Arts & Sciences,South Africa
OTS South Africa - African Ecology and Conservation,South Africa
OTS South Africa - Global Health Issues in South Africa,South Africa
SIT - South Africa - Multiculturalism & Human Rights,South Africa
SIT - South Africa Multiculturalism and Human Rights,South Africa
SIT - South Africa Social and Political Transformation,South Africa
University of Cape Town,South Africa
Arcadia - Granada,Spain
Brown University/CASA in Barcelona,Spain
CIEE - Barcelona: Economics and Culture,Spain
Duke in Alicante,Spain
Duke in Madrid,Spain
Duke in Spain,Spain
"IES Madrid - Engineering, Architecture & Science",Spain
"IES Madrid - Engineering, Math & Science",Spain
NYU in Madrid,Spain
UNC - Seville,Spain
"UNC Sevilla - Language, Society and Culture Studies",Spain
UNC Sevilla - Spanish Advanced Studies,Spain
Duke in Sri Lanka,Sri Lanka
Boston University Geneva Internship Program,Switzerland
Duke in Geneva,Switzerland
SIT - Switzerland - Global Health and Development Policy,Switzerland
"SIT - Switzerland - Int'l. Studies, Multilateral, Diplomacy, & Social Justice",Switzerland
SIT - Switzerland: Global Health and Development Policy,Switzerland
SIT - Switzerland: International Studies and Multilateral Diplomacy,Switzerland
SIT - Tanzania - Zanzibar - Coastal Ecology & Natural Resource Mgt.,Tanzania
SIT - Tanzania Zanzibar Coastal Ecology and Natural Resource Management,Tanzania
SFS - Turks & Caicos,Turks and Caicos Islands
Arcadia - Edinburgh,United Kingdom
Arcadia - King's College,United Kingdom
Arcadia - Oxford University,United Kingdom
Arcadia - Queen Mary,United Kingdom
Arcadia - St. Andrews,United Kingdom
Arcadia - University College London,United Kingdom
Duke in Glasgow,United Kingdom
Duke in London - Drama ,United Kingdom
Duke in London - Finance ,United Kingdom
IFSA - King's College,United Kingdom
IFSA - Queen Mary,United Kingdom
IFSA - SOAS University of London,United Kingdom
IFSA - St. Andrews,United Kingdom
IFSA - University College London,United Kingdom
IFSA-Butler - Edinburgh,United Kingdom
IFSA-Butler - Glasgow,United Kingdom
IFSA-Butler - Queen Mary,United Kingdom
IFSA-Butler - St. Andrews,United Kingdom
IFSA-Butler - University College London,United Kingdom
King's College,United Kingdom
London School of Economics,United Kingdom
Oxford - St. Catherine's,United Kingdom
Oxford - St. Edmund Hall,United Kingdom
Queen Mary,United Kingdom
Queen Mary University of London,United Kingdom
SOAS University of London (School of Oriental and African Studies),United Kingdom
University College London,United Kingdom
University of Edinburgh,United Kingdom
University of Glasgow,United Kingdom
Duke in Alaska,United States
Duke in Chicago - Finance ,United States
Duke in Chicago Arts Entrepreneurship ,United States
"Duke in D.C.: Policy, Leadership, and Innovation",United States
Duke in Los Angeles,United States
Duke in New York - Arts & Media,United States
Duke in New York - Fall Arts & Media,United States
Duke in New York - Financial Markets and Institutions,United States
Duke in Silicon Valley ,United States
Howard University Exchange,United States
Spelman College Exchange,United States
The Ronald & Carrie Ludwig Duke in Silicon Valley Program,United States
"SIT - IHP - Climate Change: The Politics of Food, Water, and Energy",Vietnam
"SIT - IHP - Health & Community: Globalization, Culture & Care",Vietnam
